©╛╣╣,╠╦╨п,Ё╡юз,©╘юз,ця╟Х
1983,╩Г╦аюз╪Ж,464,30,494
1983,╩Г╦а╥Э,2.5,0.2,1.2
1984,╩Г╦аюз╪Ж,514,25,539
1984,╩Г╦а╥Э,2.7,0.1,1.3
1985,╩Г╦аюз╪Ж,576,35,611
1985,╩Г╦а╥Э,2.8,0.2,1.5
1986,╩Г╦аюз╪Ж,613,29,642
1986,╩Г╦а╥Э,3,0.1,1.5
1987,╩Г╦аюз╪Ж,671,43,714
1987,╩Г╦а╥Э,3.3,0.2,1.7
1988,╩Г╦аюз╪Ж,321,20,341
1988,╩Г╦а╥Э,1.6,0.1,0.8
1989,╩Г╦аюз╪Ж,502,22,524
1989,╩Г╦а╥Э,2.5,0.1,1.3
1990,╩Г╦аюз╪Ж,631,26,657
1990,╩Г╦а╥Э,2.9,0.1,1.5
1991,╩Г╦аюз╪Ж,1457,65,1522
1991,╩Г╦а╥Э,6.7,0.3,3.4
1992,╩Г╦аюз╪Ж,1932,91,2023
1992,╩Г╦а╥Э,8.9,0.4,4.5
1993,╩Г╦аюз╪Ж,2069,100,2169
1993,╩Г╦а╥Э,9.2,0.4,4.8
1994,╩Г╦аюз╪Ж,2401,124,2525
1994,╩Г╦а╥Э,10.6,0.6,5.6
1995,╩Г╦аюз╪Ж,2542,138,2680
1995,╩Г╦а╥Э,11.1,0.6,5.9
1996,╩Г╦аюз╪Ж,2448,111,2559
1996,╩Г╦а╥Э,10.6,0.5,5.6
1997,╩Г╦аюз╪Ж,2482,129,2611
1997,╩Г╦а╥Э,10.6,0.6,5.6
1998,╩Г╦аюз╪Ж,2464,153,2617
1998,╩Г╦а╥Э,10.5,0.7,5.6
1999,╩Г╦аюз╪Ж,2659,161,2820
1999,╩Г╦а╥Э,11.2,0.7,6
2000,╩Г╦аюз╪Ж,2542,156,2698
2000,╩Г╦а╥Э,10.7,0.7,5.7
2001,╩Г╦аюз╪Ж,2870,199,3069
2001,╩Г╦а╥Э,11.9,0.8,6.4
2002,╩Г╦аюз╪Ж,3807,299,4106
2002,╩Г╦а╥Э,15.8,1.2,8.5
2003,╩Г╦аюз╪Ж,4400,340,4740
2003,╩Г╦а╥Э,18.2,1.4,9.8
2004,╩Г╦аюз╪Ж,4674,374,5048
2004,╩Г╦а╥Э,19.2,1.5,10.4
2005,╩Г╦аюз╪Ж,4289,387,4676
2005,╩Г╦а╥Э,17.6,1.6,9.6
2006,╩Г╦аюз╪Ж,4107,383,4490
2006,╩Г╦а╥Э,16.8,1.6,9.2
2007,╩Г╦аюз╪Ж,4305,396,4701
2007,╩Г╦а╥Э,17.5,1.6,9.6
2008,╩Г╦аюз╪Ж,4243,400,4643
2008,╩Г╦а╥Э,17.1,1.6,9.4
2009,╩Г╦аюз╪Ж,4010,420,4430
2009,╩Г╦а╥Э,16.1,1.7,8.9
2010,╩Г╦аюз╪Ж,4111,424,4535
2010,╩Г╦а╥Э,16.5,1.7,9.1
2011,╩Г╦аюз╪Ж,3996,497,4493
2011,╩Г╦а╥Э,15.9,2,9
2012,╩Г╦аюз╪Ж,4075,474,4549
2012,╩Г╦а╥Э,16.2,1.9,9
2013,╩Г╦аюз╪Ж,3955,521,4476
2013,╩Г╦а╥Э,15.6,2.1,8.9
2014,╩Г╦аюз╪Ж,3927,560,4487
2014,╩Г╦а╥Э,15.5,2.2,8.8
2015,╩Г╦аюз╪Ж,4140,606,4746
2015,╩Г╦а╥Э,16.3,2.4,9.3
2016,╩Г╦аюз╪Ж,4121,626,4747
2016,╩Г╦а╥Э,16.1,2.4,9.3
2017,╩Г╦а╥Э,16.4,2.3,9.4
2017,╩Г╦аюз╪Ж,4207,602,4809
2018,╩Г╦а╥Э,16.5,2.6,9.6
2018,╩Г╦аюз╪Ж,4233,677,4910
2019,╩Г╦а╥Э,15.8,2.5,9.1
2019,╩Г╦аюз╪Ж,4054,640,4694
2020,╩Г╦а╥Э,17.3,2.8,10
2020,╩Г╦аюз╪Ж,4426,729,5155
2021,╩Г╦а╥Э,16.5,2.7,9.6
2021,╩Г╦аюз╪Ж,4229,699,4928
